SC,E_E_dmd_excl,theta_ex_d_t,E_p_0,E_p_1,E_p_2,E_p_3,E_E_PV_h,E_E_PV_sell,E_E_PV_chg,E_E_PSS_h,E_E_PSS_max_sup,E_E_srpl,E_E_dmd_incl,E_E_aux_PSS,E_dash_dash_E_PV_chg,E_dash_dash_E_srpl,E_dash_dash_E_SB_sup,E_E_PV_max_sup,E_E_SB_max_sup,E_dash_dash_E_PV_max_sup,E_dash_dash_E_SB_max_sup,E_E_SB_max_chg,E_E_aux_PCS
1.0,1.5268989023784187,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5308989023784187,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.4264730683582738,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4304730683582738,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.8217102196336594,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8257102196336594,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.6215766735173531,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6255766735173531,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.7154129836939422,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194129836939422,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.3388536982679621,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428536982679621,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.13879885072530868,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14279885072530868,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14659885072530865,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15059885072530865,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14659885072530865,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15059885072530865,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.13879885072530868,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14279885072530868,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,3.663866465745422,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.667866465745422,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.504871577616268,1.4,0.013597058771881243,0.0,0.0,0.0,0.007913488205234883,0.0,0.0,0.0,0.007913488205234883,0.0,1.532871577616268,0.028,0.0,0.0,0.0,0.007913488205234883,0.0,0.013189147008724804,0.0,0.6,0.025
1.0,1.553441474318502,1.6,0.12854372838772052,0.0,0.0,0.0,0.07481244992165333,0.0,0.0,0.0,0.07481244992165333,0.0,1.5814414743185021,0.028,0.0,0.0,0.0,0.07481244992165333,0.0,0.12468741653608889,0.0,0.6,0.025
1.0,1.1618859135291364,2.6,0.23476679821571775,0.0,0.0,0.0,0.14643069941251505,0.0,0.0,0.0,0.14643069941251505,0.0,1.1898859135291364,0.028,0.0,0.0,0.0,0.14643069941251505,0.0,0.2277237942692462,0.0,0.6,0.025
1.0,0.7939398642980104,3.4,0.3353426268658139,0.0,0.0,0.0,0.2415502893583435,0.0,0.0,0.0,0.2415502893583435,0.0,0.8219398642980105,0.028,0.0,0.0,0.0,0.2415502893583435,0.0,0.32528234805983947,0.0,0.6,0.025
1.0,0.24565459149434354,4.4,0.41535012187710735,0.0,0.0,0.0,0.27365459149434357,0.0,0.04356278627093069,0.0,0.31721737776527426,0.04356278627093069,0.27365459149434357,0.028,1.3125,1.5,0.0,0.31721737776527426,0.0,0.4028896182207941,0.0,0.17425114508372275,0.025
1.0,1.697910396781165,4.7,0.4332124788518532,0.0,0.0,0.0,0.33411070187414016,0.0,0.0,1.0343281489174658,1.3684388507916059,0.0,1.725910396781165,0.028,0.0,0.0,1.5,0.33411070187414016,1.0343281489174656,0.4202161044862976,1.2823878450435544,0.6,0.025
